,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
158,DRK39,OUT045,1628.8797000000002
159,DRI39,OUT049,884.2489800000001
160,FDV04,OUT017,1662.7023400000003
161,NCN14,OUT035,3188.7159400000005
162,FDH08,OUT013,3312.6879
163,FDS20,OUT046,3729.8781799999997
164,FDV40,OUT049,1094.97468
165,FDZ48,OUT010,215.91893999999994
166,FDS24,OUT027,1585.80244
167,FDK44,OUT049,1450.5784600000002
168,FDS48,OUT045,2267.64822
169,FDK26,OUT010,588.10114
170,FDD23,OUT045,4153.85962
171,NCH54,OUT017,3542.9881199999995
172,NCP14,OUT010,153.93295999999998
173,FDM60,OUT010,93.94438
174,FDV24,OUT017,2749.9537400000004
175,FDH08,OUT018,3110.7507600000004
176,FDS12,OUT027,3393.9155
177,FDR39,OUT027,4156.389660000001
178,FDP12,OUT027,972.20116
179,DRF60,OUT027,5445.112139999999
180,FDC09,OUT035,1575.0830600000002
181,FDF50,OUT018,3117.00928
182,FDG28,OUT035,3323.5404399999998
183,NCE19,OUT017,760.8762399999999
184,NCM53,OUT010,216.85106000000002
185,NCN18,OUT049,1490.7261999999998
186,FDF32,OUT035,3534.13298
187,FDF11,OUT013,3805.3799
188,DRI59,OUT049,3370.1464400000004
189,NCG54,OUT035,3321.6762000000003
190,FDM44,OUT046,2164.4492199999995
191,FDT57,OUT018,2104.2609
192,FDV24,OUT046,2159.12282
193,FDI50,OUT019,640.4330199999999
194,FDS09,OUT035,756.8814399999999
195,NCC31,OUT027,3100.9635000000003
196,FDQ07,OUT019,335.62978000000004
197,FDC22,OUT017,3043.97102
198,FDZ56,OUT046,3095.5039399999996
199,FDZ40,OUT019,160.25805999999997
200,FDS46,OUT027,2527.8428599999993
201,DRD24,OUT045,2074.2999
202,FDV45,OUT017,3426.60628
203,FDL26,OUT045,2670.72354
204,FDA56,OUT018,1397.0481399999999
205,FDN27,OUT046,2073.83384
206,FDM20,OUT049,5771.8202
207,FDO16,OUT017,2546.685
208,FDL03,OUT035,3219.8088
209,FDE58,OUT046,1929.62156
210,FDI02,OUT027,3506.0362199999995
211,NCC55,OUT019,110.85569999999998
212,FDR03,OUT018,3091.4425600000004
213,FDB14,OUT017,2353.53642
214,FDR45,OUT013,3192.1781
215,NCN07,OUT017,2683.57348
216,FDM51,OUT019,257.53144000000003
217,FDT52,OUT027,6227.49372
218,FDL26,OUT046,3352.10326
219,NCZ42,OUT046,3800.9190399999998
220,DRI47,OUT019,398.21498
221,FDW40,OUT013,2357.99728
222,FDN34,OUT046,3335.5248399999996
223,FDS01,OUT035,3331.46346
224,NCG55,OUT045,2347.21132
225,FDC11,OUT035,1104.82852
226,FDX35,OUT018,2746.3584200000005
227,NCB06,OUT046,2898.6934599999995
228,FDR09,OUT019,656.2124799999999
229,FDC53,OUT017,1853.85352
230,FDY45,OUT013,3733.27376
231,FDA22,OUT010,502.34610000000004
232,FDE02,OUT035,2198.5381799999996
233,FDW21,OUT045,1485.4663800000003
234,FDV34,OUT046,1086.2527000000002
235,FDS59,OUT049,2288.48776
236,NCW17,OUT017,2210.7889000000005
237,NCK54,OUT046,1703.6490399999996
238,FDG17,OUT019,470.65401999999995
239,FDG35,OUT017,3157.8894
240,FDD08,OUT010,128.76572000000002
241,NCO07,OUT017,4162.3818599999995
242,FDJ10,OUT010,318.71845999999994
243,FDW36,OUT017,1657.57568
244,FDW21,OUT010,219.91373999999996
245,FDY19,OUT017,2036.5490399999999
246,DRE03,OUT013,560.86992
247,NCC55,OUT049,699.5560600000001
248,FDH52,OUT010,123.10642
249,FDO09,OUT017,4539.957039999999
250,FDU43,OUT045,3316.61612
251,FDX09,OUT010,376.7762199999999
252,FDH40,OUT019,266.71948000000003
253,FDW58,OUT017,1794.5973200000003
254,FDC47,OUT017,4289.216760000001
255,NCR41,OUT035,1385.72954
256,DRG49,OUT035,5950.2546
257,FDC52,OUT027,4266.04692
258,FDY13,OUT046,1345.3154800000002
259,FDY35,OUT013,1204.4322
260,FDI35,OUT017,4795.624239999999
261,NCU18,OUT049,2369.31588
262,FDY33,OUT018,2543.6889
263,FDC15,OUT027,3638.9964800000002
264,FDU01,OUT049,3705.90938
265,NCU42,OUT046,4333.8919399999995
266,NCV29,OUT018,2509.46678
267,NCY30,OUT017,3634.73536
268,FDQ46,OUT049,1681.87738
269,FDG58,OUT027,3647.71846
270,FDK33,OUT017,4141.67548
271,NCD07,OUT045,1444.6528400000002
272,NCX29,OUT027,3938.1404199999997
273,NCT42,OUT013,2060.7175799999995
274,DRN59,OUT035,726.12148
275,FDI44,OUT035,1339.9225
276,FDA45,OUT049,2601.68008
277,FDP31,OUT045,840.0398600000001
278,FDY01,OUT046,1853.2542999999998
279,FDT09,OUT018,2673.91938
280,DRH03,OUT027,2210.98864
281,FDA36,OUT018,1851.5232199999998
282,NCF31,OUT017,1885.47902
283,FDG14,OUT049,2016.3087199999995
284,FDG28,OUT027,6177.15924
285,FDU14,OUT049,4258.989439999999
286,FDY47,OUT019,303.53822
287,FDI56,OUT049,1309.42886
288,DRD01,OUT013,630.77892
289,FDM22,OUT046,1103.82982
290,FDH33,OUT013,603.28138
291,DRZ24,OUT013,2377.10574
292,NCQ38,OUT046,1466.2913400000002
293,FDO16,OUT027,2941.97046
294,FDU07,OUT027,4251.066419999999
295,NCB07,OUT013,2461.19628
296,FDU48,OUT045,1387.4606199999998
297,NCM43,OUT045,2135.8198199999997
298,FDR31,OUT010,388.3611400000001
299,DRK49,OUT018,267.25212
300,NCI30,OUT010,689.6356400000001
301,DRD60,OUT017,2927.1231199999997
302,NCG19,OUT046,4119.6375
303,FDH12,OUT035,1365.8221200000003
304,FDM32,OUT035,1723.4898799999999
305,FDM27,OUT035,2516.5242599999997
306,NCU53,OUT027,4135.15064
307,NCQ18,OUT046,1529.07628
308,FDS10,OUT013,2947.8295
309,FDB33,OUT027,4724.1839
310,FDI12,OUT013,1249.83976
311,NCW42,OUT013,3800.7192999999997
312,NCC06,OUT018,1759.7093999999997
313,FDW02,OUT017,2483.03452
314,NCD43,OUT017,1769.0306
315,FDM57,OUT018,1241.51726
316,FDA58,OUT017,3065.8758400000006
317,FDK56,OUT046,3180.06054
318,FDP52,OUT045,3898.5918999999994
319,FDW20,OUT018,2288.55434
320,FDS52,OUT049,1570.48904
321,NCT29,OUT018,1820.8964199999996
322,NCL54,OUT013,2594.08996
323,FDC05,OUT045,2823.25832
324,FDF34,OUT035,2841.6344000000004
325,FDP03,OUT027,3149.76664
326,FDD32,OUT010,252.60452
327,FDZ10,OUT045,2668.32666
328,FDZ40,OUT035,898.7634199999999
329,FDD51,OUT018,519.79006
330,NCY30,OUT019,418.9213600000001
331,FDP58,OUT017,3583.4687599999997
332,FDV49,OUT017,4717.65906
333,FDY24,OUT019,160.85728
334,NCO55,OUT017,1888.8745999999999
335,FDR13,OUT017,1841.9357
336,FDS51,OUT017,673.25696
337,FDP26,OUT045,1410.69704
338,NCB54,OUT027,3862.6386999999995
339,FDF32,OUT017,3037.3796
340,FDN31,OUT018,2645.5562999999997
341,DRM48,OUT017,616.13132
342,FDN20,OUT049,3036.64722
343,DRL01,OUT046,4025.693120000001
344,FDV56,OUT049,1468.0224199999998
345,DRH13,OUT027,2803.3508999999995
346,FDA03,OUT017,2386.82642
347,FDF47,OUT027,4887.038579999999
348,FDX32,OUT046,2535.96562
349,FDX57,OUT049,1817.83374
350,NCA30,OUT045,3909.7107600000004
351,FDO49,OUT013,697.22576
352,FDL04,OUT019,220.97902
353,DRM48,OUT035,776.1230600000001
354,FDR16,OUT013,3396.9116000000004
355,NCC19,OUT018,3272.54016
356,NCE42,OUT045,2981.4524
357,FDY24,OUT017,1200.1045
358,FDH19,OUT049,2174.36964
359,FDJ46,OUT013,1831.6158
360,FDN45,OUT010,590.49802
361,FDY08,OUT035,1860.2451999999998
362,FDZ37,OUT035,1518.95612
363,NCT30,OUT045,727.65282
364,DRY23,OUT018,464.39549999999997
365,NCZ30,OUT018,1680.0797200000002
366,FDC44,OUT018,2044.47206
367,FDB45,OUT035,1437.0627200000001
368,FDY04,OUT013,2465.99004
369,FDM27,OUT046,2912.4089400000003
370,FDZ43,OUT017,4468.183800000001
371,FDT39,OUT019,381.37024
372,NCC06,OUT019,419.5871599999999
373,FDL15,OUT027,3887.0735599999994
374,FDL57,OUT017,5266.478000000001
375,FDU08,OUT046,891.6393600000001
376,FDK40,OUT017,4110.382879999999
377,FDQ12,OUT010,602.28268
378,FDS48,OUT017,2561.3991800000003
379,FDP09,OUT045,4556.00282
380,FDW21,OUT049,1270.61272
381,FDY25,OUT035,3647.9847800000002
382,DRE13,OUT017,1671.2911600000002
383,FDV43,OUT019,97.47312
384,FDD22,OUT045,2323.17594
385,FDM46,OUT019,380.97076000000004
386,NCO30,OUT010,445.7531
387,FDM25,OUT046,3270.14328
388,NCN41,OUT049,2126.8981
389,FDU24,OUT045,1933.1503
390,FDZ50,OUT046,3057.9528200000004
391,FDP45,OUT013,3547.24924
392,NCM54,OUT045,1661.4373200000002
393,FDW10,OUT019,352.27478
394,FDP20,OUT017,2177.8983799999996
395,FDK32,OUT046,2487.89486
396,FDN52,OUT049,1093.31018
397,FDM58,OUT045,2699.286359999999
398,FDZ46,OUT027,3622.21832
399,NCA18,OUT018,1837.8743200000001
400,FDD35,OUT046,1982.6192399999995
401,NCK31,OUT035,497.3526
402,FDI40,OUT027,3083.9190200000003
403,FDT50,OUT019,158.7933
404,NCT06,OUT046,2823.5246400000005
405,FDT31,OUT035,2646.2886800000006
406,FDT45,OUT049,782.84764
407,FDT13,OUT045,3593.25602
408,FDO50,OUT045,1683.0758200000005
409,NCU18,OUT010,329.90389999999996
410,NCR54,OUT049,2211.1218
411,NCO18,OUT018,3669.5567
412,FDU09,OUT045,994.0394
413,FDT13,OUT018,2818.93062
414,FDE09,OUT046,1874.5599000000002
415,NCK53,OUT019,277.17254
416,FDG45,OUT049,2950.75902
417,DRH15,OUT035,965.0771000000001
418,FDO21,OUT019,330.50311999999997
419,FDD14,OUT027,6025.62316
420,FDC09,OUT046,1404.70484
421,FDH45,OUT027,924.3301399999998
422,FDV32,OUT046,1394.05204
423,FDG12,OUT035,2301.2711200000003
424,FDS32,OUT013,2273.57384
425,NCL55,OUT018,3796.32502
426,DRE01,OUT035,4883.643
427,DRE15,OUT049,1109.8886
428,NCL42,OUT045,5083.116679999999
429,FDP31,OUT013,1163.0194400000003
430,FDN33,OUT018,1444.85258
431,FDZ59,OUT046,2258.26044
432,FDE45,OUT010,333.4992199999999
433,FDJ07,OUT013,1314.88842
434,FDQ45,OUT018,2906.2169999999996
435,FDM33,OUT027,3659.83602
436,FDO15,OUT010,200.47238
437,FDM46,OUT013,1338.05826
438,FDR03,OUT045,3175.5330999999996
439,FDY49,OUT018,1743.59704
440,FDQ60,OUT045,2066.3768800000003
441,FDW10,OUT049,3099.56532
442,FDO51,OUT049,600.6181799999999
443,FDJ40,OUT018,1487.19746
444,FDS20,OUT018,1972.0996
445,FDU45,OUT013,2090.34568
446,FDV02,OUT035,2683.4403199999997
447,FDN09,OUT046,3444.7160400000002
448,NCM55,OUT027,4191.8768
449,FDN23,OUT018,2094.6733799999993
450,FDY31,OUT010,475.24804000000006
451,FDW03,OUT010,181.23076
452,FDD14,OUT046,2281.16396
453,FDV23,OUT017,2131.09264
454,DRI03,OUT045,2787.63802
455,FDN13,OUT035,1221.743
456,FDF45,OUT027,1668.0287400000002
457,FDU46,OUT035,1707.6438400000002
458,FDB57,OUT049,3057.0872800000006
459,FDV12,OUT049,2201.4677
460,FDQ58,OUT013,2049.6652999999997
461,NCA18,OUT017,1505.24064
462,FDH52,OUT049,887.71114
463,FDM24,OUT018,1960.5146800000002
464,NCP43,OUT027,4672.05176
465,NCO18,OUT019,470.7871800000001
466,FDM32,OUT017,1135.58848
467,NCL07,OUT017,692.49858
468,FDK03,OUT013,4453.403039999999
469,FDP59,OUT017,1567.09346
470,FDQ24,OUT049,3622.68438
471,FDQ16,OUT018,1834.67848
472,FDU44,OUT013,2321.9775
473,FDH28,OUT010,87.61928000000002
474,FDV28,OUT019,49.33578000000001
475,FDM22,OUT045,1066.41186
476,FDR56,OUT046,3198.10372
477,FDV39,OUT049,3570.0861800000007
478,FDU37,OUT019,290.08906
479,FDQ11,OUT010,766.3358000000001
480,FDX02,OUT045,4132.7537600000005
481,NCS42,OUT018,1649.5194999999999
482,FDY57,OUT027,2875.9231
483,FDB21,OUT049,4364.9848
484,FDE28,OUT017,3835.8069600000003
485,FDQ55,OUT017,1496.4520799999996
486,FDA48,OUT049,4348.27322
487,FDZ19,OUT045,2691.4964999999997
488,NCC43,OUT045,3325.53784
489,NCV18,OUT046,1874.09384
490,NCA42,OUT018,3548.3811
491,FDY45,OUT046,3208.0241400000004
492,NCC30,OUT045,2700.4847999999997
493,FDM57,OUT013,1424.5456800000002
494,FDL09,OUT010,521.2548199999999
495,FDB09,OUT027,4373.04098
496,FDT44,OUT035,1850.4579399999998
497,NCT06,OUT027,3910.7094600000005
498,FDX26,OUT049,3508.89916
499,FDK32,OUT013,2947.69634
500,DRA12,OUT046,1996.7342
501,FDO46,OUT010,438.62904
502,FDE52,OUT013,1067.4105599999998
503,NCH42,OUT045,4914.07006
504,FDV08,OUT035,750.09028
505,FDB47,OUT018,2500.87796
506,FDC28,OUT010,281.23392
507,FDD22,OUT046,2444.9507599999997
508,FDS07,OUT027,4377.834739999999
509,DRI13,OUT045,3220.8075
510,FDG32,OUT018,3244.90946
511,FDU14,OUT017,3818.6959
512,FDD28,OUT019,187.42270000000002
513,NCP41,OUT017,1458.96754
514,FDS08,OUT049,2393.68416
515,FDX47,OUT045,1817.9669000000001
516,FDC53,OUT019,226.17226
517,FDQ19,OUT035,2653.41274
518,FDL14,OUT045,2273.2409399999997
519,FDM33,OUT019,614.9994599999999
520,FDA51,OUT045,2108.4554399999997
521,FDZ27,OUT018,723.2585400000002
522,FDT04,OUT046,628.7149400000001
523,DRC13,OUT049,1949.7287199999998
524,FDR16,OUT027,4844.56054
525,FDQ03,OUT027,5186.18252
526,FDE38,OUT035,2220.84248
527,DRH23,OUT027,1788.93802
528,FDT11,OUT019,683.3771199999999
529,FDD09,OUT035,2537.0308999999993
530,FDR40,OUT045,1209.7586000000001
531,FDX07,OUT017,3090.7101800000005
532,FDR07,OUT035,2042.0086
533,FDA51,OUT017,2015.0436999999997
534,FDT59,OUT019,795.69758
535,FDF20,OUT017,3494.2515600000006
536,FDR13,OUT045,1884.8798000000002
537,FDY26,OUT049,3847.79136
538,FDW04,OUT017,2175.36834
539,FDK52,OUT017,3969.4330200000004
540,FDN60,OUT049,2927.3228599999998
541,FDM09,OUT019,572.1219400000001
542,FDP46,OUT049,1619.29218
543,FDB50,OUT019,344.95097999999996
544,NCQ29,OUT049,3160.0865399999993
545,FDP16,OUT027,7780.072740000001
546,FDX33,OUT018,1730.8136799999997
547,FDP07,OUT010,491.89304000000004
548,FDN22,OUT046,3805.64622
549,FDF39,OUT049,3223.8035999999997
550,FDS21,OUT017,889.37564
551,NCM42,OUT013,1884.214
552,FDK50,OUT019,387.02954
553,DRF13,OUT027,3924.0920400000005
554,FDH35,OUT018,1559.23702
555,FDP60,OUT018,1874.02726
556,DRJ49,OUT027,3006.81938
557,NCT42,OUT019,298.81104
558,FDE38,OUT049,2436.0290400000004
559,FDI04,OUT049,3634.2693
560,NCH54,OUT045,2230.62974
561,FDT56,OUT049,669.06242
562,DRD15,OUT018,2611.80024
563,FDV58,OUT013,1780.88184
564,FDP21,OUT049,3603.0432800000003
565,FDH05,OUT013,3401.5722
566,FDR10,OUT027,4851.61802
567,NCP06,OUT045,1706.1790799999999
568,FDF33,OUT049,1484.93374
569,DRK37,OUT013,3786.2714399999995
570,DRH49,OUT045,1276.3385999999998
571,FDT58,OUT013,2169.77562
572,FDD41,OUT018,1683.07582
573,FDP40,OUT018,1882.0168600000002
574,FDM51,OUT027,2611.06786
575,FDO45,OUT010,223.77537999999996
576,FDW33,OUT010,230.43338
577,FDY24,OUT045,1284.52794
578,FDB10,OUT010,504.41008
579,FDM40,OUT035,2454.6714399999996
580,NCI06,OUT017,3608.9023199999997
581,FDW12,OUT019,275.90752
582,FDX48,OUT027,3638.597
583,NCW05,OUT027,2523.3819999999996
584,FDX27,OUT017,1444.1867800000002
585,DRM37,OUT045,5700.18012
586,FDA38,OUT045,3144.37366
587,FDR36,OUT046,698.35762
588,FDZ45,OUT046,2551.5453399999997
589,FDG05,OUT017,2638.8983
590,FDK28,OUT013,4915.734559999999
591,FDV47,OUT045,1311.22652
592,FDN21,OUT045,2234.7576999999997
593,FDP20,OUT027,3122.3356799999997
594,FDI35,OUT045,4466.785620000001
595,DRY23,OUT013,762.5407399999999
596,FDA56,OUT017,1748.9900200000004
597,FDB09,OUT013,1588.5988
598,NCO26,OUT027,2629.44394
599,FDQ49,OUT018,2817.1995399999996
600,FDI52,OUT027,2811.27392
601,FDZ44,OUT027,3884.2771999999995
602,FDZ09,OUT018,2474.97834
603,FDY03,OUT049,1321.4798400000002
604,NCG42,OUT017,2802.95142
605,DRI13,OUT027,6245.60348
606,FDQ32,OUT013,2955.3530400000004
607,FDW16,OUT035,1187.65404
608,FDU27,OUT046,943.1057000000001
609,FDR28,OUT010,343.48621999999995
610,FDQ49,OUT010,505.14246
611,FDS37,OUT046,1530.7407799999996
612,FDW26,OUT018,2704.01354
613,FDX12,OUT018,3726.6823400000003
614,NCP06,OUT013,2199.3371399999996
615,FDW45,OUT010,257.93091999999996
616,NCN30,OUT049,1020.2053399999999
617,FDN24,OUT049,891.2398799999999
618,NCL41,OUT027,1295.7133800000001
619,FDR02,OUT019,227.43727999999996
620,FDD09,OUT010,534.10476
621,FDS33,OUT010,208.99462000000003
622,FDU22,OUT045,2314.45396
623,FDI53,OUT013,2637.5001199999997
624,DRH01,OUT049,2599.482940000001
625,FDX32,OUT013,2528.5086600000004
626,NCP30,OUT018,509.40358
627,FDB60,OUT045,2992.3049400000004
628,FDB14,OUT049,1363.69156
629,NCP02,OUT035,854.08824
630,FDJ10,OUT017,1816.2358200000003
631,FDG34,OUT046,1848.9266
632,NCB18,OUT017,1540.4614599999998
633,FDM16,OUT049,1310.0280799999998
634,FDW25,OUT018,1395.71654
635,FDB35,OUT010,201.00502
636,DRN11,OUT013,2483.56716
637,FDF41,OUT019,617.2631799999999
638,FDH16,OUT045,1292.91702
639,NCQ50,OUT018,3125.13204
640,DRH23,OUT018,721.12798
641,DRJ37,OUT013,2249.4053000000004
642,DRJ24,OUT027,6284.68594
643,FDY16,OUT035,3235.38852
644,FDQ27,OUT045,2307.7959600000004
645,FDZ33,OUT045,1401.37584
646,FDF29,OUT045,2753.7487999999994
647,FDA08,OUT049,3749.5858599999992
648,FDG31,OUT046,1276.93782
649,FDE34,OUT019,401.67714
650,NCR30,OUT027,2081.1576400000004
651,FDV33,OUT035,4013.24266
652,DRZ24,OUT018,1579.0778599999999
653,NCL54,OUT035,3243.9107599999998
654,FDR12,OUT049,2285.42508
655,NCC54,OUT046,5117.60512
656,DRN59,OUT013,894.1028200000001
657,FDX50,OUT019,265.58761999999996
658,FDV31,OUT027,4032.8837599999997
659,NCA29,OUT027,5556.700220000001
660,FDW60,OUT049,3174.0683400000007
661,FDX08,OUT017,2722.32304
662,DRD49,OUT013,4404.5333200000005
663,FDD33,OUT046,3665.7616399999997
664,FDW35,OUT013,466.52606
665,FDJ36,OUT017,1888.0090599999999
666,FDV51,OUT035,3602.9767
667,FDW36,OUT046,2081.89002
668,FDH35,OUT046,2120.04036
669,NCS30,OUT027,2363.5234200000004
670,FDN49,OUT017,549.81764
671,FDL08,OUT018,3036.64722
672,FDI09,OUT013,2848.89162
673,FDP19,OUT018,3518.1537799999996
674,FDU21,OUT010,65.38156000000001
675,NCP41,OUT045,1543.52414
676,FDY10,OUT013,1621.0232600000002
677,FDP12,OUT018,498.3513
678,NCN26,OUT049,1856.8496200000002
679,FDK44,OUT013,2560.2007400000007
680,FDC28,OUT049,1387.8601000000003
681,FDJ41,OUT027,5696.5848
682,NCT29,OUT035,1460.56546
683,NCH42,OUT019,735.5758400000002
684,FDU60,OUT018,3853.3840800000007
685,FDS02,OUT045,3842.9975999999997
686,FDC51,OUT046,1954.9885399999998
687,FDU03,OUT013,3384.9937800000007
688,FDX39,OUT045,4104.45726
689,NCY05,OUT010,97.14022
690,NCL06,OUT027,6421.90732
691,FDD32,OUT035,1156.9606600000002
692,NCN41,OUT045,1853.7203599999998
693,NCX53,OUT049,2446.5486800000003
694,FDU57,OUT019,280.9010199999999
695,FDQ23,OUT046,2188.01854
696,FDQ52,OUT045,3509.63154
697,FDC14,OUT045,473.38379999999995
698,FDY09,OUT035,3415.35426
699,FDQ28,OUT045,2332.0976600000004
700,FDV25,OUT046,4268.24406
701,FDJ07,OUT035,1924.1619999999998
702,DRB25,OUT049,1782.9458200000001
703,FDK52,OUT019,733.3121199999999
704,FDY52,OUT027,1576.0817599999998
705,FDB28,OUT046,3056.2883199999997
706,FDT36,OUT035,693.23096
707,FDV25,OUT017,3974.9591599999994
708,NCN07,OUT027,3589.3278000000005
709,FDC57,OUT017,3214.6155599999997
710,FDQ03,OUT018,3340.6515
711,FDU23,OUT017,3162.15052
712,NCX41,OUT035,3402.83722
713,NCD06,OUT035,614.9328800000001
714,FDW08,OUT045,1931.1528999999998
715,NCU29,OUT017,2293.2815199999995
716,NCE06,OUT013,2901.9558799999995
717,FDV52,OUT010,262.12546000000003
718,FDB02,OUT017,2558.73598
719,NCR18,OUT045,669.3953200000001
720,FDK16,OUT049,1211.88916
721,NCQ29,OUT010,989.9114400000001
722,FDZ01,OUT019,252.27162000000004
